,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
    Consumption,11.981,12.117,13.095,13.303,13.89,14.514,15.283,15.835,16.403,15.55,16.575,16.427,15.963,15.664,15.37,16.104,15.8785,16.5998,16.5932,16.5563,15.7282,16.9244,16.7254,16.40845754
    Imports,4.386,3.744,3.927,4.479,5.298,8.746,8.313,7.812,12.254,11.892,12.415,13.985,13.174,11.26,10.898,13.158,12.398,12.1579,12.6934,11.4008,10.491,11.5047,11.92,10.038
    Exports,0.965,1.222,0.892,1.168,2.302,4.337,3.308,1.915,6.242,6.889,8.447,6.83,5.743,7.391,6.945,6.369,6.867,5.204,7.306,5.268,5.852,7.544,7.226,8.461
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,3.37,3.551,3.785,4.052,4.201,4.376,4.651,4.868,5.064,5.184,5.249,4.751,4.46,3.963,4.033,4.135,4.463,4.5692,4.5831,4.6267,4.2525,4.345,4.38017,4.228
            Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Natural gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Oil,3.37,3.551,3.785,4.052,4.201,4.376,4.651,4.868,5.064,5.184,5.249,4.751,4.46,3.963,4.033,4.135,4.463,4.5692,4.5831,4.6267,4.2525,4.345,4.38017,4.228
        Renewables,0,0,0,0,0,0.001,0.001,0.003,0.015,0.031,0.074,0.179,0.257,0.33,0.314,0.3996,0.4246,0.4352,0.4774,0.5148,0.5966,0.7714,0.8858629,1.1149264
            Hydroelectricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar,0,0,0,0,0,0.001,0.001,0.002,0.003,0.004,0.007,0.012,0.022,0.05,0.08,0.1267,0.1459,0.172,0.1995,0.2183,0.2956,0.4683,0.6035979,0.854
                Wind,0,0,0,0,0,0,0,0,0,0,0.032,0.115,0.185,0.231,0.183,0.2219,0.2267,0.2114,0.221,0.2386,0.2404,0.2465,0.224265,0.208
